name,rows,faulty_rows,non_faulty_rows,percentage_faulty
Akka,20620,1264,19356,6.129970902036858
Chisel,3855,67,3788,1.7380025940337225
FS2,3332,123,3209,3.6914765906362543
Gatling,3452,478,2974,13.84704519119351
Gitbucket,1219,116,1103,9.515996718621821
Http4s,3385,75,3310,2.2156573116691285
Lila,11162,3086,8076,27.64737502239742
Metals,6683,499,6184,7.46670656890618
SynapseML,4290,6,4284,0.13986013986013987
ZIO,8399,696,7703,8.286700797714014
